Charity_ID,Charity_Name,EIN,Street_Address,Telephone,Fax,Overall_Rating,Financial_Rating,Transparency_Rating,Program_Expenses,Administrative_Expenses,Fundraising_Expenses,Fundraising_Efficiency,Revenue_Growth,Expenses_Growth,Working_Capital_Ratio,Core_Service,Tagline,Website,Scraped_From
14435,A Woman's Choice Resource Center - KY,61-1142823,"['101 West Market Street', 'Louisville, KY 40202']",(502) 589-9400,,80.29,78.72,82.00, 71.8%, 15.9%, 12.2%,$0.11,  -2.3%,1.32,  1.4%,Health : Treatment and Prevention Services ,Educating and assisting women,http://awomanschoice.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14435
6096,A.J. Muste Memorial Institute - NY,23-7379088,"['339 Lafayette Street', 'New York, NY 10012']",(212) 533-4335,(212) 228-6193,92.38,90.00,96.00, 90.2%,  6.7%,  3.0%,$0.03,  -7.8%,1.04,  6.8%,"Human and Civil Rights : Advocacy and Education 
      (Fundraising) 
      
 ",Supporting nonviolence and social justice since 1974,http://www.ajmuste.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6096
8302,AAA Foundation for Traffic Safety - DC,52-0794368,"['607 14th Street, NW', 'Suite 201 Washington, DC 20005']",(202) 638-5944,(202) 638-5943,94.34,100.00,92.00, 93.6%,  4.2%,  2.0%,< $0.01, 22.8%,2.90,  8.6%,Research and Public Policy : Social and Public Policy Research ,Saving lives through research and education,http://www.aaafoundation.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8302
11128,AACA Museum - PA,25-1716419,"['161 Museum Drive', 'Hershey, PA 17033']",(717) 566-7100,(717) 566-7300,90.17,91.51,89.00, 80.6%, 16.5%,  2.8%,$0.05,  3.7%,7.36, 11.9%,"Arts, Culture, Humanities : Museums ",A world class automotive experience,http://www.aacamuseum.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11128
4991,Aaron Diamond AIDS Research Center - NY,13-3540234,"['455 First Avenue', '7th Floor New York, NY 10016']",(212) 448-5000,(212) 725-1126,93.54,90.87,100.00, 83.2%, 16.0%,  0.6%,< $0.01,  1.4%,3.71, 11.5%,Health : Medical Research ,Finding solutions to end the AIDS epidemic,http://www.adarc.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4991
3205,AARP Foundation - DC,52-0794300,"['601 E Street, NW', 'Washington, DC 20049', 'TTY: (877) 434-7598']",(800) 775-6776,(202) 434-6507,82.04,74.92,96.00, 80.7%,  5.6%, 13.6%,$0.13,  -0.9%,0.56, 40.7%,Human Services : Social Services ,AARP Foundation is working to win back opportunity for struggling Americans 50+.,http://www.aarp.org/aarp-foundation/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3205
3240,AAUW - American Association of University Women - DC,52-6037388,"['1111 Sixteenth Street, NW', 'Washington, DC 20036', 'TTY: (202) 785-7777']",(202) 728-3307,(202) 463-7169,85.05,79.25,96.00, 85.1%,  4.4%, 10.4%,$0.29,  -2.6%,  8.2%,2.26,Education : Youth Education Programs and Services,Empowering Women Since 1881,http://www.aauw.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3240
13189,Abandoned Children's Fund - CA,20-5967513,"['2360 Mendocino Ave A2-220', 'Santa Rosa, CA 95403']",(888) 884-0567,(888) 884-0567,72.89,90.00,63.00, 96.1%,  0.9%,  2.9%,$0.02, 12.1%,0.01, 24.5%,"International : Development and Relief Services 
      (Fundraising) 
      
 ",Reclaiming the world's lost children,http://www.abandonedchildrensfund.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13189
15570,Abby's House - MA,04-2648411,"['52 High Street', 'Worcester, MA 01609']",(508) 756-5486,(508) 798-3299,82.74,84.68,81.00, 83.9%, 10.1%,  5.8%,$0.11,  -3.2%,2.29, 10.6%,Human Services : Social Services ,The largest provider of affordable housing in Worcester designed to meet the needs of women and children.,http://abbyshouse.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15570
7940,Abilities United - CA,94-1546643,"['525 East Charleston Road', 'Palo Alto, CA 94306']",(650) 494-0550,(650) 855-9710,87.56,82.88,96.00, 78.8%, 13.6%,  7.5%,$0.25,  5.2%,0.28, 15.7%,Human Services : Social Services ,Championing people with development and physical challenges,http://abilitiesunited.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7940
7632,The Ability Experience - NC,58-1588777,"['2015 Ayrsley Town Boulevard', 'Suite 200 Charlotte, NC 28273']",(704) 504-2400,,84.68,83.48,86.00, 78.3%,  7.1%, 14.5%,$0.15,  3.4%,0.82, 12.5%,Human Services : Social Services,A Pi Kappa Phi philanthropy,http://www.abilityexperience.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7632
9182,Abode Services - CA,94-3087060,"['40849 Fremont Boulevard', 'Fremont, CA 94538']",(510) 657-7409,(510) 657-7293,94.69,92.50,100.00, 91.0%,  5.6%,  3.3%,$0.03, 25.6%,0.66, 29.6%,Human Services : Homeless Services ,Because everyone should have a home.,http://www.abodeservices.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9182
9371,The Abraham Fund Initiatives - NY,13-3556715,"['162 West 56th Street', 'Suite #501 New York, NY 10019']",(212) 661-7770,(212) 935-1834,82.99,78.62,89.00, 80.2%, 11.5%,  8.1%,$0.08, -16.2%,0.46, 17.9%,"International : International Peace, Security, and Affairs 
      (Fundraising) 
      
 ",Building a shared future of Israel's Jewish and Arab citizens,http://www.abrahamfund.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9371
11870,Abraham House - NY,13-3721924,"['340 Willis Avenue', 'MottHaven Station Bronx, NY 10454']",(718) 292-9321,(718) 292-5925,83.67,86.89,81.00, 78.1%, 15.7%,  6.0%,$0.08,  -0.6%,2.97,  1.3%,Human Services : Social Services ,Offering the incarcerated and their relatives a place of hope and community,http://www.abrahamhouse.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11870
14731,The Abraham Lincoln Foundation - PA,23-2822856,"['140 South Broad Street', 'Philadelphia, PA 19102']",(215) 587-6455,(215) 851-8789,80.86,92.50,74.00, 86.6%,  6.3%,  7.0%,$0.06, 56.7%,3.27, 14.1%,"Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ","Restoring the historic role of the Union League of Philadelphia to the city, state and nation",http://www.ulheritagecenter.org/the-abraham-lincoln-foundation/alf-overview/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14731
15194,Abraham Lincoln Presidential Library Foundation - IL,36-4385644,"['500 East Madison Street', 'Suite 200 Springfield, IL 62701']",(217) 557-6250,(217) 558-6041,73.63,64.37,89.00, 65.3%, 11.2%, 23.4%,$0.27, -25.9%,6.18, 34.4%,"Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ",The Greatest Story Ever Told,http://www.alplm.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15194
12762,Abused Deaf Women's Advocacy Services - WA,91-1339173,"['8623 Roosevelt Way, NE.', 'Seattle, WA 98115']",(260) 922-7088,(206) 726-0017,84.44,83.04,86.00, 82.5%,  5.7%, 11.6%,$0.12,  1.8%,1.82, 25.0%,Human Services : Social Services ,Striving towards a healthy community that is free of violence and oppression.,http://www.adwas.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12762
13578,Academy Art Museum - MD,52-6051766,"['106 South Street', 'Easton, MD 21601']",(410) 822-2787,(410) 822-5997,85.08,85.17,85.00, 65.7%, 19.8%, 14.3%,$0.19,  6.9%,4.64,  2.4%,"Arts, Culture, Humanities : Museums ","Dedicated to the knowledge, practice and appreciation of the arts",http://www.academyartmuseum.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13578
5705,Academy of Achievement - DC,75-6042129,"['1222 Sixteenth Street, NW', 'Washington, DC 20036']",(202) 887-0000,(202) 887-0400,75.09,80.00,71.00, 88.8%,  5.6%,  5.5%,$0.05,  -1.4%,0.75, 42.5%,Education : Adult Education Programs and Services ,A museum of living history,http://www.achievement.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5705
9256,Academy of American Poets - NY,13-1879953,"['75 Maiden Lane', 'Suite 901 New York, NY 10038']",(212) 274-0343,(212) 274-9427,90.00,88.34,92.00, 75.6%, 15.4%,  8.8%,$0.11,  3.0%,2.60,  2.2%,"Arts, Culture, Humanities : Performing Arts ",Serving poets and poetry since 1934,http://www.poets.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9256
14568,Academy of Fine Arts - VA,23-7061145,"['600 Main Street', 'Lynchburg, VA 24504']",(434) 528-3256,,69.83,75.61,65.00, 65.4%, 18.7%, 15.8%,$0.10,  -0.8%,14.84,  1.8%,"Arts, Culture, Humanities : Performing Arts ",The Academy is an Experience,http://www.academyfinearts.com/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14568
14729,Academy of Hope Adult Public Charter School - DC,52-1730021,"['601 Edgewood Street, NE', 'Suite 25 Washington, DC 20017']",(202) 269-6623,(202) 269-6632,81.28,73.84,96.00, 72.2%, 16.3%, 11.3%,$0.13,  9.4%,0.06, 72.0%,Education : Adult Education Programs and Services ,Excellence in adult education since 1985,http://aohdc.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14729
3209,The Academy of Natural Sciences of Drexel University - PA,23-1352000,"['1900 Benjamin Franklin Parkway', 'Philadelphia, PA 19103']",(215) 299-1022,(215) 405-1541,91.27,92.78,90.00, 81.9%, 12.3%,  5.6%,$0.09,  7.1%,1.39, 13.8%,"Arts, Culture, Humanities : Museums ",Connecting people to nature since 1812,http://www.ansp.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3209
8467,Academy of Nutrition and Dietetics Foundation - IL,36-6150906,"['120 South Riverside Plaza', 'Suite 2000 Chicago, IL 60606']",(800) 877-1600,,91.30,94.50,89.00, 74.5%, 16.2%,  9.1%,$0.09, 20.9%,3.84,< 0.1%,Health : Treatment and Prevention Services ,Devoted exclusively to nutrition and dietetics,http://www.eatright.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8467
9103,Academy of Television Arts & Sciences Foundation - CA,95-2283284,"['5220 Lankershim Boulevard', 'North Hollywood, CA 91601']",(818) 754-2800,,75.73,67.50,89.00, 47.0%, 42.5%, 10.3%,$0.03,  -0.1%,8.55,  3.6%,Education : Youth Education Programs and Services ,"To educate, inspire and preserve",http://emmys.org/foundation/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9103
6064,Academy of Vocal Arts - PA,23-1352001,"['1920 Spruce Street', 'Philadelphia, PA 19103']",(215) 735-1685,(215) 732-2189,88.60,84.39,96.00, 74.2%, 15.6%, 10.1%,$0.09,  5.0%,4.57, 10.0%,Education : Youth Education Programs and Services ,Opera Stars of the Future,http://www.avaopera.com/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6064
10838,Acadia Center - ME,01-0518193,"['8 Summer Street', 'Rockport, ME 04856']",(207) 236-6470,(207) 236-6471,96.01,94.36,100.00, 90.4%,  4.0%,  5.5%,$0.05,  0.4%,1.43,  0.7%,Environment : Environmental Protection and Conservation ,Advancing the Clean Energy Future,http://www.acadiacenter.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10838
8965,ABC² (Accelerate Brain Cancer Cure) - DC,52-2320756,"['1717 Rhode Island Avenue, NW', 'Suite 700 Washington, DC 20036']",(202) 419-3140,,72.36,62.50,89.00, 49.9%, 17.2%, 32.8%,$0.24, -23.6%,2.01,  3.4%,Health : Medical Research ,Brain cancer breakthroughs don't follow conventional wisdom. Neither do we.,http://www.abc2.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8965
10907,Accelerated Cure Project for Multiple Sclerosis  - MA,04-3555864,"['460 Totten Pond Road', 'Suite 420 Waltham, MA 02451']",(781) 487-0008,,84.50,78.09,100.00, 75.6%, 14.7%,  9.5%,$0.10,  -2.2%,0.36, 27.2%,"Health : Diseases, Disorders, and Disciplines",Dedicated to curing multiple sclerosis by determining its causes,http://www.acceleratedcure.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10907
15263,ACCESS - OH,34-1395246,"['230 West Market Street', 'Akron, OH 44303']",(330) 376-0997,(330) 535-0008,85.30,85.62,85.00, 79.3%, 16.2%,  4.3%,$0.04,  2.3%,1.31,  6.0%,Human Services : Homeless Services ,Empowering homeless women through building a strong work ethic,http://www.access-shelter.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15263
7859,ACCESS College Foundation - VA,54-1440734,"['7300 Newport Avenue', 'Suite 500 Norfolk, VA 23505']",(757) 962-6113,(757) 962-7314,92.87,89.93,100.00, 72.3%, 11.0%, 16.6%,$0.07,  8.6%,5.69,  0.2%,Education : Scholarship and Financial Support ,Helping students go to college since 1988,http://www.accesscollege.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7859
9311,Access Fund - CO,94-3131165,"['4750 Walnut St', 'Suite 100 Boulder, CO 80301']",(303) 545-6772,(303) 545-6774,89.93,88.22,92.00, 78.8%,  9.8%, 11.3%,$0.11, 14.2%,1.38,  7.3%,"Environment : Botanical Gardens, Parks, and Nature Centers ",Keeping climbing areas open and conserving the climbing environment,http://www.accessfund.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9311
7754,Accion East  - NY,11-3317234,"['80 Maiden Lane', 'Suite 903 New York, NY 10038']",(646) 833-4522,(212) 387-0277,92.09,98.01,89.00, 81.5%, 11.8%,  6.5%,$0.07,  8.9%, 18.7%,1.34,Community Development : Housing and Neighborhood Development,Lending. Supporting. Inspiring.,http://www.accioneast.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7754
3211,ACCION International - MA,13-2535763,"['10 Fawcett Street', 'Suite 204 Cambridge, MA 02138']",(617) 625-7080,(617) 625-7020,96.08,95.34,97.00, 78.4%, 14.3%,  7.1%,$0.17, 13.4%, 11.1%,10.13,International : Development and Relief Services,Helping millions help themselves,http://www.accion.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3211
7904,ACCION New Mexico - NM,85-0417347,"['2000 Zearing Ave. NW', 'Albuquerque, NM 87104']",(505) 243-8844,(505) 243-1551,93.98,92.50,96.00, 88.1%,  5.3%,  6.5%,$0.08, 16.3%,2.12, 67.6%,Community Development : Housing and Neighborhood Development ,Lending. Supporting. Inspiring.,http://www.accionnm.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7904
7806,ACCION San Diego - CA,33-0620415,"['404 Euclid Avenue, Ste 271', 'San Diego, CA 92114']",(800) 967-4429,(619) 685-1470,92.02,97.50,89.00, 91.1%,  5.4%,  3.3%,$0.03, 12.9%,4.19, 38.7%,Community Development : Housing and Neighborhood Development ,Lending. Supporting. Inspiring.,http://www.accionsandiego.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7806
12420,Accordia Global Health Foundation - DC,04-3774897,"['1875 Connecticut Ave N.W.', '10th Floor Washington, DC 20009']",(202) 534-1200,,77.86,78.77,77.00, 80.7%, 11.3%,  7.9%,$0.14, -24.0%,0.28,  6.9%,International : Development and Relief Services ,"Building a vibrant, healthy Africa",http://www.accordiafoundation.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12420
11257,ACE Scholarships - CO,84-1531066,"['1201 East Colfax Avenue', 'Suite 302 Denver, CO 80218']",(303) 573-1603,(720) 266-6798,97.19,97.41,97.00, 84.7%,  4.2%, 11.0%,$0.09, 16.1%,1.11,  6.1%,"Education : Scholarship and Financial Support 
      (Fundraising) 
      
 ",Every child deserves a great education,http://www.acescholarships.org/Home?Lang=en-US,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11257
6917,Achievement Centers for Children - OH,34-0714766,"['4255 Northfield Road', 'Highland Hills, OH 44128']",(216) 292-9700,(216) 292-9721,91.41,87.86,100.00, 82.7%, 12.3%,  4.9%,$0.18,  1.5%,2.60,  6.5%,Human Services : Social Services ,Serving children with disabilities and their families for 75 years,http://www.achievementcenters.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6917
10383,Achievement Centers for Children & Families Foundation - FL,65-1023099,"['555 Northwest 4th Street', 'Delray Beach, FL 33444']",(561) 266-0003,,84.31,80.74,89.00, 70.1%, 10.8%, 19.0%,$0.21, 13.5%,5.50, 16.1%,"Education : Youth Education Programs and Services 
      (Fundraising) 
      
 ",Supporting the Achievement Centers for Children & Families,http://www.achievementcentersfl.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10383
12696,Achievement First - CT,65-1203744,"['403 James Street', 'New Haven, CT 06513']",(203) 773-3223,(203) 773-3221,88.22,87.50,89.00, 92.5%,  4.6%,  2.7%,$0.04, 23.6%,0.28, 49.1%,Education : Scholarship and Financial Support ,Public Charter Schools,http://www.achievementfirst.org/,https://web.archive.org/web/20160627132513/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12696
